mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,label
-365.57373,77.32205,-30.917084,11.199132,11.347341,-12.04808,13.214189,2.9662077,-5.3272877,17.497671,-17.867298,18.884687,-18.352554,0.017174827,0.1443920135498047,5989.981087122167,1
-382.32086,85.32135,-26.670784,17.548542,13.601277,-18.270958,2.0884204,2.977983,0.51178294,18.294256,-9.607442,20.379818,-20.107262,0.015794514,0.12427269995629371,5449.120290268505,1
-374.54895,79.34,-26.42772,14.435741,12.529439,-10.146722,15.586345,7.700414,-4.350141,17.511564,-15.81312,19.65129,-17.907104,0.01721407,0.1390520497001845,5878.483009918882,1
-346.4001,74.296974,-31.777319,18.354378,10.847022,-9.381479,13.840638,5.500953,-3.4168913,16.265373,-12.346019,18.037693,-16.567217,0.020175276,0.14365198339483395,5761.746933153274,1
-369.02258,79.00665,-32.583836,19.26976,12.906656,-13.391342,13.482939,2.1763887,-7.281582,15.22327,-17.531275,20.21241,-19.167221,0.017058566,0.1483898162841797,5813.101315934455,1
-346.56525,78.36011,-32.23942,21.281946,16.488565,-11.418792,13.767428,6.7181025,-4.5323896,17.86429,-16.740055,20.356213,-19.501564,0.019345691,0.13480526406826568,5644.724652264386,1
-373.69083,92.46004,-16.195887,22.813139,18.722536,-9.892358,14.334825,8.271148,-0.7290743,17.959795,-17.261217,20.871176,-16.856647,0.016647309,0.11155519285402098,5234.580289466855,1
-398.9877,86.685295,-16.997684,20.520063,20.299091,-8.184175,15.390292,6.959544,-4.014427,15.799488,-15.681916,20.412758,-15.606205,0.01549145,0.1201929319598338,5394.682207906974,1
-356.0701,78.7173,-33.396923,20.845533,17.982115,-8.636182,15.781053,2.0382829,-7.9350667,15.4719715,-15.712402,21.757597,-17.607243,0.018882599,0.138031005859375,5708.653682508056,1
-372.19412,78.05587,-20.628561,18.44261,13.856785,-5.665112,13.267257,5.2143264,-2.620566,12.788172,-12.383366,16.285423,-15.223157,0.017900117,0.13335370684003497,5649.698105656783,1
-381.22147,78.09395,-24.69671,16.961283,14.87975,-11.739632,13.26541,7.1825247,-3.622662,17.1525,-16.575089,20.312893,-18.078985,0.01618068,0.13732869601328904,5886.359685165185,1
-356.4849,76.224594,-27.86618,15.193718,13.465094,-11.330334,13.434738,6.6472015,-5.4884224,17.567505,-17.894325,20.858078,-18.546183,0.018889517,0.14374732971191406,6036.089918944228,1
-337.38315,73.72082,-40.306778,19.995195,13.440551,-14.414858,10.672338,5.147379,-4.897151,17.305094,-18.997679,19.633629,-21.550993,0.020026859,0.1498677751659292,5868.621493329024,1
-345.19357,74.947876,-31.545353,16.51363,7.945061,-15.245489,14.184823,8.154361,0.20526397,20.699064,-18.124588,21.857246,-17.697401,0.018892836,0.14924373183139536,5944.324347128094,1
-338.40256,74.9354,-31.596676,18.391947,6.9445987,-14.897083,11.322404,7.0124784,0.4762831,16.374418,-13.223179,19.517998,-15.744084,0.020909918,0.14697118108006044,5792.965657424881,1
-377.67752,86.65186,-27.736963,13.93077,13.717131,-12.450254,15.491414,5.9798684,-4.5347185,16.505354,-16.17212,20.782673,-16.460535,0.015977183,0.1297440757610701,5612.021269443136,1
-372.6289,79.22313,-27.569336,17.92705,11.397386,-12.711124,14.982412,6.0964723,-2.8232875,18.095026,-16.376066,20.266932,-16.173323,0.01629827,0.1416448051199262,5864.222647146973,1
-374.19492,81.31597,-23.491297,15.895806,9.062751,-14.253046,13.033903,8.907717,-1.5671895,16.791153,-15.417745,19.749891,-17.283562,0.01599127,0.13041889750874125,5748.721685044414,1
-370.30588,81.810875,-16.790527,16.833622,9.059217,-9.023414,11.987533,4.8563437,-0.63009983,13.355235,-12.059261,16.329916,-15.195,0.017713662,0.12828480113636365,5620.634884621952,1
-340.48343,75.92744,-32.202976,19.141615,11.51153,-14.348846,15.646515,7.494754,-0.042582043,20.312277,-15.46223,21.548273,-18.094738,0.019669777,0.13768140575553797,5932.85095942633,1
-366.10284,87.70494,-19.960192,18.941128,14.078114,-9.506035,17.23386,10.411801,0.88219726,19.54211,-16.636301,21.725407,-15.465422,0.017858533,0.11802779796511628,5370.191323778638,1
-375.8171,88.4787,-18.380089,17.195795,12.480095,-12.105522,13.13942,8.032282,0.20080127,21.065344,-16.017025,21.626057,-15.1314535,0.016403016,0.11784694995387454,5448.918724010614,1
-351.4185,76.90763,-31.682863,15.99185,10.525696,-13.98831,14.289084,8.819349,-0.87984186,18.966772,-17.427593,20.271936,-18.286474,0.018783847,0.14105181927447552,5826.988247998811,1
-365.96628,78.935165,-22.979815,18.00454,14.97449,-10.769576,13.291791,5.9254527,-3.9701004,19.212133,-15.415034,19.710747,-16.806688,0.017900968,0.13493976726398602,5845.992245432704,1
-354.3751,80.757286,-28.987246,18.079498,9.488023,-15.430933,12.58394,8.822906,-0.37673393,18.23857,-16.284063,21.74601,-17.626429,0.01770484,0.13589173489391143,5750.16406015106,1
-352.2662,83.28908,-22.020048,24.398445,12.82133,-9.8249855,13.98955,9.187042,0.36305526,15.191616,-14.129619,18.37868,-17.36953,0.01912058,0.12098753776435045,5345.55642871095,1
-318.89743,88.582466,-24.133995,25.560158,11.088025,-12.211304,15.243269,8.030278,-3.1208122,18.125896,-21.559547,17.010796,-22.54786,0.021959018,0.11420916455258302,5301.101973763399,1
-342.79648,82.77332,-30.252342,22.160236,10.601582,-14.235306,13.772434,6.8806224,-1.5744107,15.509998,-18.04313,19.16367,-22.253939,0.018651575,0.133298755186722,5505.11314632606,1
-358.54593,101.93735,-2.709887,31.596157,17.337461,-8.464562,13.059356,6.3702164,-2.7715447,10.824152,-15.214649,11.624049,-18.79476,0.02091208,0.0861938071013289,4596.945084638523,1
-327.9172,70.07516,-36.50772,18.787367,5.3913097,-15.830363,13.225828,8.046743,-2.7255576,19.111021,-17.312408,21.876244,-17.776886,0.021060182,0.1569887280904059,6077.622816042633,1
-456.09314,101.15737,-14.328974,1.4697328,-16.61522,11.13649,6.480166,13.028147,7.072297,8.80384,1.7800541,0.22827096,-4.6946673,0.009493442,0.07104761956146409,3828.5201072583814,1
-435.40546,99.884384,-31.723024,13.2984495,-14.490909,2.3395076,2.9731736,16.084637,9.190003,5.773168,-0.6225141,6.3847647,-9.4383545,0.00928077,0.08185964956070288,3948.7089975074064,1
