mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spec_mean_1,spec_mean_2,spec_mean_3,spec_mean_4,spec_mean_5,spec_mean_6,spec_mean_7,spec_mean_8,spec_mean_9,spec_mean_10,rolloff,bandwidth,flatness,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,energy,label
-339.40323,27.73083,-32.220238,25.301691,-20.933619,20.132048,-11.041375,15.373516,-11.061257,13.715918,-23.911482,14.8453455,-3.2545407,-20.937946,-24.105795,-39.87876,-36.72143,-32.18362,-23.508299,-19.498144,-15.743583,-14.602709,-16.430372,5810.904862253289,2064.515073852688,0.17251714,0.6732665,0.59827435,0.45983866,0.3420922,0.32152584,32.00969,1
-275.18552,24.762894,-33.739815,35.165573,-31.666119,6.117879,-6.531917,21.904377,-4.7304373,18.475922,-34.727352,8.94117,-8.746407,-15.987586,-20.307203,-38.046185,-34.096283,-30.517065,-21.512331,-18.989527,-14.802155,-11.542324,-9.638645,6590.293482730263,2263.2368610560748,0.072562225,0.70818925,0.44701192,0.27068907,0.2003968,0.21713038,36.660072,1
-298.10355,32.335037,-32.7162,29.178593,-21.436708,27.783773,-6.0605345,16.42313,-9.547795,16.796164,-27.389095,14.719552,-3.5070622,-16.074524,-19.597124,-34.936474,-28.96477,-24.620644,-19.748072,-16.487366,-9.054978,-7.543156,-11.040941,6306.168534128289,2236.957898578008,0.104618244,0.80002666,0.7514783,0.5377696,0.32577333,0.26570386,44.886883,1
-272.88263,18.489847,-33.967934,35.105824,-23.200306,24.279003,-11.244386,17.712637,-8.885525,16.921427,-27.088306,14.586291,-5.5968275,-17.876085,-20.317917,-32.366993,-28.918541,-25.12625,-18.261057,-12.221198,-8.001607,-6.9206176,-10.23647,6549.607062088816,2207.4509920622036,0.103699856,0.81658894,0.69052047,0.44608316,0.27318102,0.24059846,46.653046,1
-348.00003,27.274231,-27.971378,32.416023,-20.166748,21.632124,-12.401181,12.798067,-11.386682,16.03112,-26.323818,15.394076,-3.1673243,-20.71413,-23.973396,-38.667404,-35.431408,-29.244343,-25.95914,-20.568354,-15.018222,-14.77967,-16.756693,5954.837325246711,2080.8479334611156,0.16859241,0.70527536,0.605971,0.45513192,0.2736697,0.23000368,36.23267,1
-268.76724,19.66887,-34.415894,35.21488,-24.66959,25.133451,-8.233766,15.939564,-11.420536,16.57664,-28.645922,15.114043,-3.5472395,-17.124228,-19.640974,-32.31184,-31.216146,-23.80798,-18.233948,-14.722024,-11.604422,-11.187097,-11.702,6552.213712993421,2209.208279543996,0.106552735,0.7706539,0.6260248,0.47038087,0.2818727,0.25139406,48.892334,1
-257.2191,37.08373,-26.337767,40.744614,-23.601284,25.060333,-6.3320184,20.518423,-15.029411,16.21448,-28.926542,15.327687,-4.222283,-16.995676,-20.355022,-28.952776,-26.657328,-23.205103,-13.407584,-3.5183039,-1.0636954,-1.8723527,-5.103266,6562.6403166118425,2342.8383088787905,0.066913486,0.69630045,0.6508823,0.47571394,0.33145705,0.30109975,37.803764,1
-279.65298,25.383812,-32.406643,40.636856,-21.097773,25.771534,-10.765262,15.4054365,-12.997503,19.168884,-30.466825,14.302693,-1.5275695,-16.685974,-19.740574,-34.51769,-30.306253,-25.54549,-18.99667,-14.213896,-8.254627,-5.7598357,-9.254717,6617.039987664473,2272.354982985807,0.07023899,0.7159709,0.53447264,0.36536452,0.24037565,0.23008461,35.864037,1
-310.81094,14.177561,-32.08817,37.623684,-15.720682,22.515491,-14.485987,12.502387,-8.681926,17.719265,-25.203901,11.7911005,-6.6463056,-19.770668,-21.986,-34.19793,-29.145365,-27.414227,-22.512257,-19.546274,-13.577403,-11.58007,-15.420567,6142.7428556743425,2065.6341556806447,0.1810553,0.7078453,0.5710562,0.37779355,0.2351506,0.22576846,36.22776,1
-267.9703,26.17702,-32.996853,35.165916,-19.248766,26.151897,-10.479419,17.270195,-11.973137,17.317074,-26.523275,13.7849455,-6.367668,-14.992613,-17.993673,-32.56406,-28.694485,-22.869349,-16.45393,-14.006008,-8.184316,-5.3397403,-8.985384,6657.046412417763,2323.1919850252016,0.08057249,0.8142929,0.72603047,0.57154393,0.37753215,0.32534868,41.210648,1
