rms,zcr,centroid,rolloff,bandwidth,flatness,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spec_mean_1,spec_mean_2,spec_mean_3,spec_mean_4,spec_mean_5,spec_mean_6,spec_mean_7,spec_mean_8,spec_mean_9,spec_mean_10,label
0.016420463,0.22866962139423078,3095.311826341311,5575.774489182692,2120.373725477519,0.1343258,0.69248503,0.59764075,0.4747946,0.38220406,0.36290485,0.3396615,0.37496063,0.44183528,0.48844355,0.4971696,0.55707026,0.70718396,0.14992528,0.10095012,0.04644832,0.05371087,0.0674584,0.115949675,0.19128193,0.31221804,0.38950676,0.34334084,1
0.01717778,0.22892503004807693,3268.205463882956,5763.113356370192,2214.1849997390204,0.053799,0.61642706,0.45420575,0.3894501,0.30726972,0.27155963,0.27614814,0.34788063,0.4255099,0.40553632,0.4780845,0.69137853,0.70356953,0.16729556,0.11069485,0.049642056,0.055045784,0.067226835,0.114679165,0.15353356,0.2362023,0.3853327,0.44998208,1
0.017464494,0.2295447716346154,3221.989920283251,5807.918982872596,2228.231530789705,0.08930012,0.75402284,0.7410849,0.5592301,0.34341103,0.28421023,0.31353253,0.36151946,0.40363243,0.4365861,0.47079295,0.5245043,0.6538708,0.26857558,0.22984378,0.19046049,0.20340647,0.23185602,0.26908797,0.31622502,0.5199528,0.6473873,0.5363583,1
0.020740697,0.25211087740384613,3406.272354048575,5971.819786658654,2210.9351589022276,0.08817602,0.7448276,0.5827788,0.37086195,0.28812125,0.2882209,0.29168797,0.3546814,0.46963924,0.47947997,0.46227387,0.56665653,0.7308691,0.52554363,0.47915816,0.43211088,0.44251183,0.45653692,0.47104293,0.5778674,0.78366566,0.9174649,0.81690943,1
0.016742876,0.24165790264423076,3242.597879933718,5740.337853064904,2129.6603545645626,0.13192448,0.67930436,0.5621748,0.40855333,0.2756514,0.29163563,0.3165782,0.34879303,0.46417376,0.5194479,0.50557065,0.6062976,0.68471724,0.16185895,0.118132144,0.06625376,0.069155484,0.08393939,0.11190709,0.1825325,0.32514685,0.36874542,0.33109418,1
0.019580962,0.23814978966346154,3362.622281358863,5844.856708233173,2187.37375243107,0.0909707,0.72398925,0.6285548,0.5148666,0.36523727,0.33487827,0.28632215,0.27425978,0.39487395,0.49428418,0.53325516,0.60324574,0.7420371,0.21206874,0.17234062,0.12411622,0.13838242,0.15742302,0.22095875,0.30689144,0.419073,0.4855608,0.53569037,1
0.017647576,0.19979717548076922,3086.41543768521,5542.232384314904,2242.415598951184,0.049248513,0.5802889,0.5964971,0.49697876,0.34505582,0.29531044,0.30022335,0.44089094,0.58066124,0.5529944,0.4912274,0.58209467,0.60970366,0.15582426,0.10648724,0.06421187,0.077341065,0.09826937,0.27633148,0.8124709,1.1361854,0.9558373,0.80793184,1
0.019015914,0.2633451021634615,3503.706447762501,6113.524827223558,2259.349870113813,0.05840543,0.65078473,0.5246397,0.38741153,0.28440556,0.28307283,0.273685,0.3408787,0.47422704,0.5004636,0.527704,0.64609146,0.7840759,0.17293279,0.12664755,0.07510693,0.0754649,0.09797799,0.14577658,0.22829866,0.48141393,0.63979346,0.46462595,1
0.01821193,0.23062650240384616,3239.6510429505965,5643.9353590745195,2094.7004521655776,0.13923788,0.67368585,0.6266142,0.4859506,0.3332248,0.28564608,0.29520667,0.32426518,0.45666072,0.5009137,0.48222315,0.49393493,0.6219392,0.27335042,0.24321559,0.202334,0.21808034,0.22732328,0.25902626,0.28532344,0.48009002,0.62349427,0.47561264,1
0.019130208,0.23804837740384616,3247.7552232159696,5784.89501953125,2253.4419409197358,0.060159873,0.7461653,0.6884283,0.50815994,0.43816394,0.4242366,0.3514632,0.39494395,0.51253116,0.53614223,0.5447818,0.6023338,0.7049382,0.57512724,0.52271104,0.44896019,0.46551368,0.49233687,0.53209245,0.5625726,0.7931453,1.0146512,0.8576833,1
0.01793618,0.2508413461538462,3405.064313468616,6050.830078125,2262.470912658278,0.058473103,0.7825465,0.7371526,0.5117923,0.35421225,0.34168175,0.34019995,0.3296209,0.41444117,0.4586333,0.4438091,0.5286843,0.70034665,0.2264676,0.18260637,0.13536425,0.14138484,0.16583318,0.1975546,0.23799728,0.49244592,0.63166094,0.44930294,1
0.018007476,0.23062274639423078,3140.2556721961055,5602.028432992788,2116.2926968190327,0.13243894,0.67574614,0.60402745,0.43535677,0.29367906,0.28612924,0.30717945,0.36081454,0.43098447,0.44950616,0.46224782,0.49933103,0.58503,0.20313513,0.16311598,0.11611807,0.12697409,0.14385611,0.19031747,0.23100097,0.46517783,0.6245411,0.5264816,1
0.016977537,0.2206317608173077,3002.048816986633,5233.7278395432695,1868.147550032281,0.23994465,0.6205101,0.5402558,0.46260107,0.31255338,0.27823874,0.2307328,0.23184572,0.3382365,0.41300642,0.42628106,0.5048265,0.6398346,0.1848155,0.14353816,0.10826816,0.121107474,0.12951216,0.16489607,0.251002,0.4172126,0.41649508,0.2938737,1
0.020458773,0.2767164963942308,3672.6281337774094,6376.312725360577,2314.8328531483994,0.07416316,0.7315879,0.64154536,0.42417166,0.27937064,0.2675171,0.26024967,0.2904411,0.4239674,0.5154559,0.5767147,0.6520935,0.77465713,0.20351344,0.15905523,0.107982576,0.12580828,0.1399609,0.18225792,0.23900378,0.47134447,0.6090908,0.44648975,1
0.021795021,0.2585261418269231,3415.5386550395715,6075.841721754808,2281.609016028673,0.062063027,0.763722,0.6403878,0.4916212,0.34425947,0.32835358,0.35079503,0.33669809,0.44986814,0.54355186,0.5650249,0.5825985,0.7121647,0.4868286,0.44376352,0.39796123,0.41753945,0.4346525,0.46660754,0.5241318,0.8339611,1.0971402,0.88373363,1
0.016229631,0.21944861778846153,3206.83911124017,5793.259840745192,2242.368044364155,0.08557611,0.734122,0.63839275,0.43520457,0.30784944,0.31280464,0.324893,0.39850697,0.47939613,0.505993,0.5439769,0.6745985,0.7574373,0.19817074,0.15262693,0.10022618,0.10975946,0.12916872,0.17694049,0.25469878,0.54984784,0.65700483,0.4505454,1
0.016608143,0.24373873197115384,3322.820752479369,5932.3146409254805,2257.492610281873,0.093798906,0.7000918,0.645233,0.4617838,0.3604204,0.34992465,0.3521353,0.42961502,0.5188096,0.5631288,0.57006437,0.6580695,0.7330521,0.27278492,0.22708851,0.16439378,0.17446177,0.18783654,0.22250822,0.26685596,0.5566926,0.6580706,0.44596806,1
0.016939046,0.23006685697115384,3339.5434618245245,5932.4802809495195,2265.589232559125,0.05839683,0.709938,0.605775,0.40871158,0.26536044,0.23102248,0.2471969,0.3269199,0.4762646,0.48276412,0.45738423,0.55624646,0.68271226,0.17292914,0.12410206,0.065862395,0.081863694,0.098929144,0.1438103,0.22764687,0.5124027,0.5781498,0.35587922,1
0.0188534,0.22610426682692308,3187.1259726169965,5753.174954927885,2282.0606348692877,0.060945034,0.7833947,0.67793834,0.4796302,0.35872483,0.3568142,0.311259,0.33968157,0.42391402,0.4871934,0.51812327,0.66679615,0.81072795,0.55218697,0.5130719,0.4672175,0.49504107,0.51550573,0.57299364,0.6216533,0.86040825,0.99608016,0.8501748,1
0.021682171,0.25931865985576924,3632.2770021594774,6361.98486328125,2330.9429284086245,0.06881119,0.794101,0.6824821,0.46079847,0.30280533,0.28915247,0.23884146,0.2727116,0.38772002,0.4893333,0.55700415,0.6413171,0.7714359,0.22903997,0.1926114,0.15121461,0.16997653,0.17881018,0.24317981,0.277956,0.46610728,0.6314622,0.67435586,1
0.019540798,0.222705078125,3272.2898282415563,5787.793719951923,2277.765870433744,0.05957679,0.70230633,0.5857644,0.36275595,0.273064,0.27425638,0.28511196,0.40041324,0.5182906,0.55179656,0.5697297,0.7348675,0.79415065,0.20811102,0.15594913,0.11057588,0.135765,0.15762018,0.3178751,0.44287628,0.70309144,0.93468934,0.77337575,1
0.016566208,0.1966834435096154,2968.508428362252,5504.8805588942305,2259.602629605595,0.08252107,0.7459237,0.65949595,0.4711207,0.30571133,0.29511085,0.3156855,0.36340758,0.41528207,0.5227495,0.59206116,0.6204629,0.72052926,0.19016339,0.1482795,0.10549034,0.121795975,0.14564818,0.21775532,0.29552525,0.5559081,0.81114256,0.7231638,1
0.019805422,0.25707256610576923,3480.656245196255,6100.936185396635,2281.944585731264,0.06526512,0.7937144,0.68428254,0.47448125,0.29448497,0.27264747,0.2676753,0.2794289,0.36872447,0.49376902,0.54449207,0.625826,0.7691342,0.18073873,0.12566742,0.06722506,0.08681543,0.110887796,0.1474273,0.19970112,0.38619635,0.51927584,0.4427475,1
0.018571792,0.24317908653846154,3300.2196802273706,5934.799241286058,2284.307616531559,0.060762506,0.76229674,0.6800299,0.48868027,0.3459216,0.33038333,0.34117925,0.40756705,0.4659889,0.48875973,0.490065,0.61969405,0.72001225,0.31092906,0.26487467,0.2444238,0.2621904,0.28827718,0.3164923,0.40246084,0.7232766,0.8632235,0.6364964,1
0.018006196,0.232861328125,3336.7181924689544,5946.3112229567305,2260.5624783673,0.090717934,0.7672792,0.5646367,0.40594006,0.31789866,0.2975922,0.2797696,0.31499314,0.41380295,0.4832325,0.50014246,0.5906426,0.74923843,0.16447668,0.12782592,0.08271792,0.098897934,0.12118444,0.19021457,0.22903538,0.47564235,0.64023304,0.4403148,1
0.020248031,0.22266376201923077,3300.954497638334,5837.6513671875,2263.1601355158678,0.057048578,0.7159144,0.58032614,0.43508607,0.27220738,0.24849355,0.25944996,0.30298758,0.40610096,0.50735027,0.562942,0.66981924,0.7673739,0.48415795,0.43953836,0.38919333,0.40017483,0.4279424,0.51619434,0.54588807,0.8269904,1.0704594,0.8412695,1
0.02166303,0.19887319711538462,3292.2267067626244,5863.4912109375,2282.2568930603625,0.088012435,0.6593994,0.5578949,0.51899064,0.32746622,0.24782577,0.31671387,0.29814303,0.4408438,0.47105783,0.43369448,0.5106936,0.6022226,0.26091048,0.2076947,0.15230578,0.1637452,0.18289569,0.25109693,0.28541586,0.48170114,0.65400076,0.5020349,1
0.016691428,0.21029146634615384,3059.8084024370364,5422.226186899038,2021.395661467489,0.19214404,0.7363835,0.531494,0.33050174,0.2551766,0.22483836,0.2038777,0.24452619,0.3571759,0.47704265,0.45760703,0.4509773,0.65604275,0.16043384,0.12926815,0.08306725,0.093998276,0.11139375,0.16823791,0.21101889,0.37458515,0.52653897,0.35964668,1
0.022445906,0.16388221153846153,2866.74464118191,5192.897573617788,2224.8456853189214,0.044733874,0.6762755,0.55170137,0.44007924,0.2942436,0.25304377,0.25414357,0.41775432,0.5494974,0.5266412,0.5266844,0.5182738,0.6568753,0.5126056,0.46838072,0.43792766,0.4567122,0.48926803,0.622582,0.84357095,1.2160138,1.444784,1.5109185,1
0.021195592,0.2745192307692308,3637.2310434724727,6294.569373497596,2274.912538424429,0.10394689,0.6646328,0.4774245,0.31140912,0.28433463,0.28526512,0.29896742,0.43819445,0.562268,0.5746881,0.5585324,0.6618108,0.7463049,0.16124006,0.100431815,0.044522423,0.050087675,0.08083025,0.15795623,0.20308419,0.44593972,0.6474012,0.43927667,1
0.009440142,0.10551006610576923,2519.12253933087,5051.855093149038,2489.68752081275,0.06360316,0.7434859,0.67656684,0.5668074,0.577199,0.5813505,0.5077927,0.50585973,0.52613515,0.51282287,0.5312502,0.57932794,0.6505643,0.032115288,0.077082604,0.11830709,0.107383035,0.105241984,0.14876272,0.13816994,0.15674077,0.32375726,0.43145913,1
0.009599986,0.13639197716346155,2995.754184705986,5680.790264423077,2489.2603899534324,0.081552625,0.7592811,0.5277854,0.3716231,0.33801165,0.33215684,0.38033587,0.42865518,0.48380247,0.5561416,0.66278046,0.76986057,0.762257,0.030868314,0.056642246,0.06635083,0.07132719,0.097301126,0.16865468,0.20093086,0.18832058,0.15240623,0.12260641,1
0.013380077,0.16591796875,3640.800464808143,6628.168381911058,2658.506133844446,0.12552449,0.7352387,0.5299529,0.36158416,0.3312885,0.33076283,0.34438092,0.29309398,0.36151445,0.5321503,0.68075955,0.78912365,0.80742145,0.04279831,0.08392424,0.09762694,0.091514446,0.08434009,0.13957283,0.24668354,0.21472238,0.15252389,0.1811502,1
0.008846657,0.1262469951923077,2774.38803912036,5611.6355543870195,2583.5472856042293,0.06920458,0.63926977,0.5939522,0.46528706,0.43265983,0.42378494,0.43194082,0.41045016,0.47641146,0.57389975,0.63003016,0.7033445,0.64986444,0.014952456,0.038524117,0.064754434,0.07080967,0.09837236,0.10311467,0.1363441,0.17591952,0.16403377,0.15700564,1
0.010203429,0.17141676682692308,3413.3592190646505,6123.131948617788,2346.283632154589,0.2520273,0.62979656,0.54605407,0.4385675,0.3467993,0.29387185,0.31319612,0.34688362,0.3977869,0.46784222,0.61183715,0.6692461,0.70159054,0.032943234,0.05985921,0.0674588,0.075962715,0.09250213,0.089970544,0.17538306,0.25273627,0.19010076,0.154549,1
0.007287714,0.1658428485576923,3340.1596109943794,6291.9191331129805,2622.9487107497516,0.116292626,0.7148831,0.63265425,0.52395135,0.4380155,0.43250227,0.4421033,0.4480135,0.5015741,0.58055365,0.70152426,0.76103145,0.76115465,0.03589053,0.06433479,0.06754433,0.068728216,0.09744615,0.12466689,0.14643703,0.17416607,0.15947036,0.1852537,1
