mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,zcr,centroid,label
-477.43527,33.032528,-19.916533,20.079077,-13.316362,14.002186,-8.004417,11.144018,-8.865608,9.501824,-16.824715,9.819676,-2.196289,0.012339077,0.17183266347543352,2325.9568637246853,1
-451.01028,42.497635,-17.541464,25.198435,-20.259418,5.692805,-4.755081,14.563103,-4.0299497,12.846441,-22.51801,5.6560907,-5.774565,0.012941209,0.17261165552745664,2479.3064373078414,1
-462.18414,38.301052,-17.766317,22.086737,-12.586121,18.691284,-4.87944,10.978744,-7.317011,11.029257,-18.008358,9.7223,-2.5043983,0.013123609,0.17249029082369943,2421.1484950105355,1
-416.1206,32.072678,-18.08447,23.41448,-13.837437,16.581322,-6.666157,11.346211,-6.008054,11.312516,-18.003893,8.639725,-3.300674,0.015585495,0.1894474801300578,2559.626624429565,1
-475.12347,31.23127,-17.271935,23.665741,-14.649684,15.191429,-9.070051,9.36259,-9.1446705,11.061052,-18.584602,9.656436,-2.693934,0.012581351,0.18159264360549132,2436.6342450368975,1
-440.5769,33.275818,-17.681654,28.136488,-14.394915,16.808475,-5.917834,11.74368,-8.155436,11.186427,-19.557894,8.438229,-3.2310388,0.0147140175,0.17895648934248554,2526.825991772556,1
-445.38232,50.551346,-10.804249,29.322607,-13.473221,16.814306,-3.8084333,13.288089,-10.396134,11.518539,-18.47937,8.368167,-3.6283174,0.013308685,0.15059948518786126,2340.425732162173,1
-372.58698,60.01194,-13.892121,38.18476,-13.651215,22.412,-7.104551,13.699055,-11.053169,16.293009,-22.623571,9.689203,-3.4414885,0.015982816,0.2047930590679191,2923.2487707050277,1
-472.44446,29.490765,-17.377289,27.229893,-9.8647175,15.735861,-9.922478,8.46784,-6.814931,12.349467,-17.364592,7.6096473,-5.078463,0.013685265,0.17330315209537572,2434.41985886461,1
-417.6584,41.187836,-12.996017,24.905115,-9.883495,15.719874,-5.195192,9.80903,-7.3880544,10.438204,-16.416182,7.897021,-4.202651,0.014411745,0.17930929371387283,2461.551361075938,1
-428.69275,41.205223,-16.958168,27.817553,-15.891768,17.636623,-5.6225634,12.773019,-9.004767,12.711132,-20.335375,9.91906,-3.736495,0.0136053525,0.19180985820086704,2700.043782846586,1
-467.92563,33.513084,-16.689398,21.969625,-13.241234,15.752015,-5.962658,10.062455,-8.445294,10.774082,-17.397861,9.242897,-3.1137388,0.01353163,0.17330032966040462,2359.729695869906,1
-494.58536,21.739412,-18.396574,22.252298,-14.703278,11.980672,-5.4600453,9.615246,-8.103212,8.28523,-17.182789,8.638521,-2.54682,0.012757686,0.16579265263728324,2255.874833573771,1
-403.52567,35.011604,-20.021353,22.711916,-20.136425,18.583027,-4.127353,17.600153,-10.097572,14.024778,-20.163687,8.209762,-3.747255,0.01577827,0.21464617955202311,2890.8675627835405,1
-341.3123,38.98257,-21.105865,24.998135,-22.252773,17.670904,-3.974366,15.633107,-8.769878,14.975724,-20.866518,9.766454,-3.737812,0.019336373,0.23379922326589594,3109.7651764831317,1
-473.3139,41.180992,-19.304098,23.213589,-14.329757,17.101068,-6.5766,10.783357,-8.3490925,12.58231,-18.120947,8.248418,-2.1474574,0.012195677,0.1649035856213873,2409.7634939955033,1
-467.30914,36.49394,-16.067007,22.983494,-15.272267,16.761612,-5.710939,12.641646,-8.546003,11.817937,-16.812874,9.037561,-3.0433297,0.012480106,0.18315627257947978,2496.917328452705,1
-436.6137,41.598648,-16.119858,21.444183,-18.022955,16.949448,-3.2721736,12.466032,-8.313461,12.053496,-18.895908,7.724724,-3.7511594,0.0127703,0.1738253025650289,2543.7893733941723,1
-417.80667,45.49815,-11.4223585,20.654903,-12.586593,14.54991,-4.5215187,11.016113,-7.2989507,10.788095,-16.930834,7.4096484,-2.583935,0.01420222,0.17041015625,2421.652143005744,1
-379.0066,36.47038,-20.639204,28.067728,-19.011713,20.208857,-4.574451,17.343204,-8.355303,14.269258,-21.478252,10.928056,-5.055658,0.017217299,0.21153585621387283,3018.9356541691664,1
-422.14713,48.952454,-14.272085,26.501677,-13.702498,21.031715,-1.9105052,16.159964,-9.574205,13.827657,-18.08855,8.880422,-4.0244985,0.0149149345,0.1688070131864162,2534.965877766634,1
-467.61472,46.536343,-13.1156225,22.224174,-14.7847805,15.734849,-3.3285296,15.417342,-7.4143863,12.572522,-16.136528,7.8267546,-2.939294,0.012448595,0.1477968072615607,2230.6710733357963,1
-434.7884,35.767143,-20.061846,23.439304,-17.586771,18.017378,-3.328669,14.652025,-9.587306,11.581167,-18.978327,10.016867,-4.298696,0.014922955,0.1936839550216763,2638.2077926652414,1
-439.89648,41.561947,-14.618661,25.69009,-13.805529,17.290245,-6.022611,13.265513,-7.5944643,11.331797,-17.421482,9.461779,-3.1487103,0.013992092,0.18315345014450868,2502.874516662802,1
-442.13608,36.062016,-16.622198,21.638674,-18.295855,15.691223,-2.805531,13.404924,-8.130134,12.448078,-18.24106,7.942404,-3.867709,0.013530668,0.17498250090317918,2507.3604914506595,1
-352.7304,47.52905,-12.806826,31.139061,-16.421589,20.287874,-2.5703015,15.110242,-10.444454,13.761992,-22.973164,6.1438227,-7.0476117,0.01768032,0.1944827041184971,2949.197057573947,1
-424.58752,40.140636,-11.819837,25.047411,-16.962597,18.3782,-5.4346313,13.129988,-11.85766,8.293707,-22.288845,4.470979,-9.172514,0.016278578,0.14944228684971098,2473.9275831164227,1
-483.5043,30.804695,-13.428726,21.282915,-15.189809,14.411587,-3.8643985,11.057871,-8.853319,9.328786,-19.696125,6.415813,-5.6198287,0.012542691,0.15802248916184972,2299.277990270605,1
-388.6534,62.94677,1.0118659,32.406853,-13.685307,16.391563,-5.1526265,9.336799,-10.945946,6.9735565,-22.156855,4.260703,-5.8160734,0.017387992,0.12447784953034682,2249.9770320377547,1
-432.72705,26.12823,-19.034771,20.057098,-19.920864,16.712431,-5.0718327,13.442259,-8.790945,12.7472725,-18.816713,7.176518,-2.900932,0.015927322,0.20628612716763006,2733.1793968290253,1
-405.6102,74.623566,-18.830786,-10.120109,-3.3756502,16.617786,8.433989,13.469345,2.7747047,1.1457949,-6.4586515,2.400125,-1.4978765,0.011107617,0.1248306539017341,2861.669955881014,1
-415.3158,55.21181,-19.724804,3.069952,-13.184433,10.57161,11.431726,12.292849,-1.5168585,7.728841,-9.864094,-0.26614305,-2.2916458,0.0095641725,0.13200810603323698,2883.8157065717082,1
-456.49963,31.323477,-14.842115,-0.72958905,-13.43503,5.9368224,11.981864,15.15836,2.418559,7.1791034,-9.001284,1.8871301,-2.6908307,0.010076969,0.12719867684248554,2792.967700879131,1
-418.60287,62.504025,-24.090883,-10.555667,-5.3138366,12.250986,4.917636,12.634571,2.9635355,3.464799,-7.4193263,-0.10729484,-2.1019008,0.010486342,0.12763050939306358,2752.964518906791,1
-523.4207,16.793905,-21.104103,0.559754,-6.4575534,6.7930217,2.4462423,16.110067,5.197687,5.4797645,-9.573804,0.012906775,-2.2642276,0.0076673157,0.12881028721098267,2564.952014326038,1
-461.9936,40.761887,-19.334589,4.9128637,-5.4520807,6.6263604,3.039025,17.780172,3.6045787,3.7544003,-9.657901,1.4223174,-2.4615157,0.007015968,0.14840080834537572,2957.7389791281917,1
-491.01675,26.7986,-21.428457,2.0121965,-7.5776997,4.1660786,3.7081034,19.669512,4.6089573,1.8841097,-8.832467,-3.2260041,-1.3553085,0.007718879,0.13221132135115607,2639.717564316213,1
-477.21176,50.461582,-13.646234,6.8841553,-5.391755,8.2318735,7.6434283,14.168296,0.63585585,4.3192563,-6.7558436,0.9169475,-0.7898106,0.006964461,0.11917167178468208,2586.273016632,1
-457.30798,46.372185,-13.4823475,3.396405,-9.222525,9.009791,10.915245,10.953111,0.59063274,3.3086321,-11.33398,1.6505998,-2.9436731,0.0085480865,0.12312025830924855,2696.5203368166162,1
-437.9203,45.74043,-21.255512,-0.7458055,-8.090761,10.365776,10.452889,13.562188,3.3033357,2.933527,-5.7580314,-1.303585,-0.7438342,0.009597279,0.1297332234465318,2659.5060703220006,1
-440.197,49.172394,-15.366499,-6.2677927,-6.0520005,11.273202,3.5807533,13.459406,4.8641186,3.3879747,-5.604413,1.8217262,-2.4053397,0.009185657,0.13203350794797689,2857.903214574869,1
-424.98303,60.93802,-21.44942,-8.508468,-2.0338151,14.602996,3.1439428,14.41128,4.428894,5.2319117,-6.5940003,0.20650302,-0.8994113,0.009694118,0.11820357658959538,2695.447886613007,1
-408.92892,50.745903,-19.472702,-5.9968443,-11.517035,11.387907,9.05221,15.898129,4.269767,3.9046445,-8.163934,-0.073503196,-0.43665054,0.010612181,0.16004335260115607,3280.6874110786644,1
-425.7772,42.311176,-17.460842,-8.345774,-13.255771,9.762672,10.046657,13.9323225,0.44259733,1.4953533,-7.5721993,-0.008659737,-0.8278355,0.01144996,0.1459876264450867,2979.2680023002254,1
-423.4357,51.124763,-15.83584,-4.1380935,-14.390961,10.748661,11.250323,15.061552,0.8983606,3.167056,-8.40393,-0.85044533,-1.2255465,0.0093917195,0.16236903901734104,3245.058486516014,1
-425.63824,76.19231,-21.805092,-6.8097687,-2.7456121,13.261758,5.529165,14.235264,-1.2630196,1.6286044,-4.485843,0.57609844,-3.6097429,0.008108612,0.12967395231213874,2719.343251068481,1
-458.0304,42.000713,-20.739147,-7.6176996,-5.305335,10.967372,1.4969105,13.844687,2.4016092,4.784915,-6.6080694,-0.66604596,-1.1344262,0.008352085,0.12803694002890173,2611.22957168761,1
-396.8302,67.367004,-23.644253,-6.2428718,-5.3897157,13.294221,3.7147167,15.981276,-0.21405943,5.130095,-7.9958553,-0.1916007,-0.7041213,0.007994684,0.1435575099349711,3044.4244954538103,1
-492.61072,43.702587,-19.873463,-2.9892826,-3.9510841,9.060999,3.244276,15.703043,-0.08618279,3.6447055,-7.583928,0.10893382,-0.8832447,0.006433774,0.115234375,2390.281874296034,1
-532.76624,35.915176,-16.088083,-2.8291287,-3.490596,8.60757,1.955551,12.499752,2.3843875,3.5998797,-7.095472,0.21476313,-0.43670875,0.005739924,0.10794684790462428,2278.5435709621156,1
-440.88208,50.133038,-23.57167,-8.926869,-4.078949,11.915774,5.6860437,17.867517,3.394731,6.1249857,-5.0370135,0.9534118,-0.9791997,0.0093544675,0.1051554597182081,2465.6688736399556,1
-514.9663,41.349823,-17.201454,-6.1808586,-5.1518974,8.471547,3.5942943,15.180859,2.2277627,3.481355,-5.009574,0.44046324,-1.7447819,0.006548633,0.10403777546965318,2274.192899211448,1
-387.10638,68.41311,-26.536905,-9.007457,-3.720948,12.697869,5.836827,13.578667,2.2730787,5.145753,-6.9665685,3.8234644,-1.7579802,0.011263627,0.13351810874277456,2874.9386357556823,1
-471.17026,47.620647,-19.243969,-7.319727,-6.5648413,8.479046,4.5065985,15.020846,1.9589406,3.444222,-3.5673587,0.62092835,-2.0150352,0.008372011,0.10576510567196531,2298.8611545459144,1
-462.43192,34.957615,-23.267708,-12.1433115,-4.776253,10.43646,3.1707475,15.028758,3.2148197,4.179543,-6.2581596,3.1867883,-4.1334424,0.0103591485,0.10605299403901734,2316.349391183444,1
-401.84222,75.197495,-19.984486,-1.15018,-2.02143,14.929799,4.813878,17.546165,3.4004192,3.3380964,-5.217201,4.3678927,-0.4310353,0.010610261,0.09878804642341041,2418.2463778824576,1
-409.78433,63.88717,-24.542217,-11.44981,-1.9392079,10.732556,4.245566,14.956537,-0.18662734,4.1976185,-6.8592424,2.101997,-1.6613637,0.011359219,0.13257259302745664,2838.7870301687667,1
-396.66193,45.150635,-29.298075,-11.027774,-4.838201,9.867005,3.0501673,19.11678,2.6898243,5.5250516,-8.597919,0.14703837,-1.8457707,0.012359228,0.1386634076950867,2875.4259327789364,1
-478.18045,25.367222,-19.052,-4.7402625,-12.239715,5.2787457,8.783642,14.514819,1.403052,6.1993375,-6.556514,-0.2248061,-2.194571,0.008941623,0.12949331647398843,2645.7635209100667,1
-433.40515,61.85312,-14.224341,4.0872045,-7.5838213,7.4723034,9.467196,11.061542,-0.6260506,3.8676503,-9.575159,1.388839,-3.396804,0.008539023,0.13174561958092484,2967.1864936557345,1
-333.15512,59.259155,-26.685478,14.764715,-34.630222,15.200262,-17.318989,20.881966,-11.521502,17.008476,-28.661846,1.565426,-7.984309,0.015519004,0.1915727736632948,3303.2468134061155,1
-302.96387,39.74888,-24.191702,21.152338,-36.27152,16.819254,-16.79257,26.738623,-7.686978,18.574944,-32.485085,4.790654,-6.8622913,0.016272882,0.22563674132947978,3858.543468191373,1
-303.36057,44.706337,-31.607405,14.794668,-37.440155,14.145358,-14.621386,26.588518,-11.970407,16.335966,-32.03376,2.2432559,-7.8060846,0.016212342,0.22429608471820808,3678.3397813198976,1
-299.46127,42.898476,-27.923563,15.407145,-38.928444,20.682957,-18.833242,25.050789,-10.814606,16.670286,-31.850563,2.9257388,-7.891863,0.016978156,0.2348661036849711,3825.289969864645,1
-298.13818,58.393528,-28.41768,11.595027,-35.61098,17.026337,-12.656832,24.878443,-10.18955,16.673103,-31.233257,4.814478,-8.0619955,0.016150784,0.1914147173049133,3390.2655223093648,1
-289.8352,43.27638,-25.417418,23.574352,-33.791546,22.063562,-16.322952,27.40144,-14.546808,15.202652,-33.95244,2.1211376,-12.48208,0.016319923,0.2097548997471098,3831.364593831664,1
-299.5128,57.637928,-26.290567,11.547146,-35.12818,20.472849,-11.531764,28.455648,-11.159951,15.043468,-31.411503,2.2786713,-7.241837,0.016040662,0.17693562590317918,3425.3239689187167,1
-288.50995,43.25155,-30.23201,13.553471,-42.299232,17.325418,-15.177814,27.560606,-11.427242,16.750984,-30.812777,3.0529728,-8.947888,0.017590752,0.2244626083815029,3753.6951437516545,1
-283.03754,47.920746,-31.846634,7.18939,-40.139523,14.5501375,-13.549672,28.047705,-11.478524,14.71905,-29.654158,2.0786376,-7.778405,0.017859537,0.2211829389450867,3615.7066778063536,1
-287.67102,39.325897,-30.640509,19.280098,-38.516747,16.782297,-16.098543,26.639061,-13.438174,16.633276,-32.658524,3.270566,-7.583053,0.017991887,0.24297778179190752,3827.520307737741,1
-251.82822,43.298782,-27.975908,8.752709,-47.01221,12.553911,-12.471014,30.761326,-13.435368,13.147202,-34.524696,1.114009,-10.367756,0.02304152,0.2127495032514451,3739.90744648062,1
-307.09082,51.426956,-29.236563,15.7747755,-41.173775,17.732956,-12.398659,27.298433,-12.081305,17.168903,-30.862123,3.5963576,-6.9641757,0.014820159,0.2112197434971098,3572.582380744906,1
-285.03598,58.71347,-33.37004,6.1319666,-41.099457,17.798483,-13.975538,27.705141,-12.021725,16.43471,-32.25746,1.8303745,-11.945417,0.016795643,0.1866758489884393,3415.400498408582,1
-295.0513,50.80777,-28.57786,15.096847,-38.6089,17.03302,-16.198168,27.625069,-13.780539,16.86215,-34.26944,0.38477612,-8.15504,0.015633198,0.20922992684248554,3664.280025971532,1
-275.7819,46.41445,-30.563517,8.059902,-43.176228,17.011524,-11.31834,28.405043,-11.385702,17.805584,-32.488083,2.5135732,-7.23758,0.019121416,0.22064385386560695,3675.0388464012367,1
-287.04788,41.333088,-28.829847,14.209529,-38.735806,14.691636,-15.9750395,27.236847,-12.690705,19.188057,-31.300318,5.6356344,-9.360287,0.01698192,0.24092022669797689,3861.9223183992026,1
-312.69788,46.531578,-26.188465,17.865223,-35.16143,17.54934,-14.687565,23.90328,-11.419362,15.915998,-28.46328,4.5940804,-6.1779037,0.016027424,0.22565085350433525,3643.3026703220435,1
-318.9728,53.13706,-27.307318,17.303383,-36.474346,17.189293,-15.465431,26.218903,-13.429946,17.566378,-29.074358,3.347873,-8.101952,0.013425229,0.2163029488800578,3538.8423418827233,1
-316.85983,54.68619,-25.334843,16.367628,-33.223175,20.090773,-12.720748,29.273962,-13.000909,16.235806,-30.44009,3.1799765,-7.795375,0.013720551,0.1988715904985549,3528.209311466543,1
-292.69666,48.82669,-31.222668,16.954159,-37.7679,17.545116,-10.90054,28.506842,-12.833381,15.99405,-31.32555,1.8560169,-7.6277285,0.015839066,0.20560027546965318,3595.592675635988,1
-294.65784,58.806934,-26.616222,14.048219,-38.672085,20.034393,-9.695013,25.69429,-14.708484,17.874065,-28.56116,3.6405346,-8.718242,0.015852088,0.18376591853323698,3462.4756664774527,1
-280.43637,61.613483,-29.320154,14.468518,-36.825745,23.488369,-7.666391,28.077059,-14.316724,18.984253,-27.107834,4.3166885,-8.406802,0.017520664,0.17147421423410406,3379.411999746128,1
-305.3764,61.60926,-26.22637,17.758425,-32.783356,19.806435,-9.644152,27.54631,-15.2615595,16.407032,-29.81066,5.8768487,-9.104206,0.015411316,0.17427406972543352,3335.7695422315314,1
-306.03125,61.000145,-19.644552,22.980635,-31.758596,23.171741,-6.100451,32.015022,-12.571447,17.229631,-28.163351,3.6038747,-6.5133104,0.015545772,0.1660015128251445,3346.9930870024987,1
-454.7192,28.140465,-21.815935,16.934328,-24.326696,5.9837456,-11.16089,13.822686,-6.398053,9.9922,-17.395351,5.9290776,-5.059876,0.0173902,0.18315627257947978,2446.084317457129,2
-414.63065,37.541237,-22.208076,19.274693,-22.889437,9.121799,-9.9989,14.970864,-5.288293,12.289476,-18.694132,7.7489777,-6.952679,0.018168025,0.1874887102601156,2564.2574975342873,2
-473.89108,29.213274,-19.739292,15.933935,-22.210642,8.05537,-9.050902,12.828116,-4.2738705,8.505352,-17.023886,6.092476,-3.5077436,0.01565711,0.16179043984826588,2248.027465410667,2
-447.49664,30.963892,-18.132019,17.0555,-22.638397,6.9354143,-9.128533,11.173979,-5.057402,8.973856,-17.290937,6.091238,-3.8737144,0.016783636,0.178366600433526,2374.877885515027,2
-442.1181,34.38767,-15.892116,15.842518,-23.121422,7.4658923,-6.9927244,11.304384,-5.028362,8.778458,-16.691366,5.7667384,-4.4127355,0.017012727,0.1612965137283237,2261.0256120135705,2
-472.58716,32.867256,-21.33365,16.068697,-22.884693,8.635415,-8.705708,13.098455,-5.52516,9.691741,-16.31913,5.8643622,-4.846544,0.015420208,0.16514913746387283,2304.945432784811,2
-449.766,41.549175,-19.131247,17.839842,-21.270895,8.567735,-10.777269,10.664353,-7.096649,9.107337,-15.897035,4.630902,-6.527712,0.015812717,0.15685682351878613,2305.2652680313777,2
-402.60635,39.03707,-23.569826,20.1607,-26.522947,9.462629,-11.819273,16.564693,-5.9118414,10.062352,-19.414043,5.020914,-5.5185285,0.018555325,0.20245890534682082,2736.0498775340648,2
-455.11124,26.406599,-20.27135,17.366741,-23.245447,7.64046,-9.460644,11.716253,-4.46835,8.269555,-18.146118,6.541483,-5.4242325,0.017250631,0.17065853052745664,2289.547683884594,2
-451.50595,30.651886,-19.527586,16.87861,-24.68921,8.433639,-8.864209,14.324318,-5.461379,11.015976,-18.343563,6.483425,-4.7165446,0.01635526,0.17554981033236994,2430.3497923265145,2
-387.93103,28.148344,-24.579697,14.405294,-30.385925,9.413944,-9.504906,14.852412,-5.4765396,12.590483,-19.709358,6.678028,-5.3017154,0.020131972,0.20879244942196531,2808.1045665869347,2
-437.29272,43.84421,-18.54978,17.608824,-24.430088,9.876067,-8.0219145,13.528523,-5.206452,12.256389,-19.102846,7.2181263,-5.509115,0.015435836,0.17589414739884393,2478.5705523936745,2
-451.66437,43.775368,-14.128528,17.469845,-22.554028,8.443186,-7.7758465,12.6474,-4.32337,12.1450815,-16.3656,4.7634673,-3.9536076,0.01486922,0.1584091627528902,2312.3126482509283,2
-431.80328,43.20242,-17.731657,19.03395,-24.839302,11.795899,-8.32494,13.303726,-5.9690394,11.740331,-15.891446,6.791966,-5.1819215,0.016498834,0.1752816790101156,2454.178327252494,2
-467.51236,33.10228,-17.774542,14.572093,-23.861233,9.84967,-7.848184,12.099468,-3.898764,9.443312,-17.05723,7.3128004,-4.699381,0.015727889,0.16711919707369943,2377.0119082468696,2
